id,nome,partido,uf,email,foto_url,pagina_url
5672,Alan Rick,UNIÃO,AC,sen.alanrick@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672
5982,Alessandro Vieira,MDB,SE,sen.alessandrovieira@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982
6358,Ana Paula Lobato,PDT,MA,sen.anapaulalobato@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358
5967,Angelo Coronel,PSD,BA,sen.angelocoronel@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967
6009,Astronauta Marcos Pontes,PL,SP,sen.astronautamarcospontes@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009
6350,Augusta Brito,PT,CE,sen.augustabrito@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6350.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6350
4639,Beto Faro,PT,PA,sen.betofaro@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639
5936,Carlos Portinho,PL,RJ,sen.carlosportinho@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936
5990,Carlos Viana,PODEMOS,MG,sen.carlosviana@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990
470,Chico Rodrigues,PSB,RR,sen.chicorodrigues@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/470
5973,Cid Gomes,PSB,CE,sen.cidgomes@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973
739,Ciro Nogueira,PP,PI,sen.cironogueira@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739
6337,Cleitinho,REPUBLICANOS,MG,sen.cleitinho@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6337.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6337
475,Confúcio Moura,MDB,RO,sen.confuciomoura@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/475
6335,Damares Alves,REPUBLICANOS,DF,sen.damaresalves@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6335.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6335
5998,Daniella Ribeiro,PP,PB,sen.daniellaribeiro@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998
3830,Davi Alcolumbre,UNIÃO,AP,sen.davialcolumbre@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830
5793,Dr. Hiran,PP,RR,sen.drhiran@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5793.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5793
5906,Dra. Eudócia,PL,AL,sen.draeudocia@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5906.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5906
4994,Eduardo Braga,MDB,AM,sen.eduardobraga@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994
5976,Eduardo Girão,NOVO,CE,sen.eduardogirao@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976
3777,Eduardo Gomes,PL,TO,sen.eduardogomes@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777
4642,Efraim Filho,UNIÃO,PB,sen.efraimfilho@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4642.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4642
5718,Eliziane Gama,PSD,MA,sen.elizianegama@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718
22,Esperidião Amin,PP,SC,sen.esperidiaoamin@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/22
5953,Fabiano Contarato,PT,ES,sen.fabianocontarato@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953
5917,Fernando Dueire,MDB,PE,sen.fernandodueire@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5917.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5917
